Name,Stars,Forks,Language,Description,URL,Domain
square/okhttp,"10,050","2,542",Java,An HTTP+HTTP/2 client for Android and Java applications.,https://github.com/square/okhttp,Web libraries and frameworks
spring-projects/spring-framework,"8,271","6,897",Java,The Spring Framework,https://github.com/spring-projects/spring-framework,Web libraries and frameworks
bumptech/glide,"7,478","1,537",Java,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,Web libraries and frameworks
afollestad/material-dialogs,"5,663","1,147",Java,"A beautiful, easy-to-use, and customizable dialogs API, enabling you to use Material designed dialogs down to API 8.",https://github.com/afollestad/material-dialogs,Web libraries and frameworks
Bearded-Hen/Android-Bootstrap,"5,019","1,152",Java,"Bootstrap style widgets for Android, with Glyph Icons",https://github.com/Bearded-Hen/Android-Bootstrap,Web libraries and frameworks
dropwizard/dropwizard,"4,247","1,869",Java,A damn simple library for building production-ready RESTful web services.,https://github.com/dropwizard/dropwizard,Web libraries and frameworks
AndroidBootstrap/android-bootstrap,"4,076","1,275",Java,A template/bootstrap/boilerplate application that includes tons of great open source tools and frameworks.,https://github.com/AndroidBootstrap/android-bootstrap,Web libraries and frameworks
perwendel/spark,"3,838",828,Java,A Sinatra inspired framework for java,https://github.com/perwendel/spark,Web libraries and frameworks
springside/springside4,"3,265","2,391",Java,"A Spring Framework based, pragmatic style JavaEE application reference architecture.",https://github.com/springside/springside4,Web libraries and frameworks
dmytrodanylyk/circular-progress-button,"2,976",776,Java,Android Circular Progress Button,https://github.com/dmytrodanylyk/circular-progress-button,Web libraries and frameworks
castorflex/SmoothProgressBar,"2,968",908,Java,A small Android library allowing you to have a smooth and customizable horizontal indeterminate ProgressBar,https://github.com/castorflex/SmoothProgressBar,Web libraries and frameworks
AsyncHttpClient/async-http-client,"2,765",812,Java,Asynchronous Http and WebSocket Client library for Java,https://github.com/AsyncHttpClient/async-http-client,Web libraries and frameworks
ReactiveX/RxJava,"12,364","1,944",Java,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava,System software
clojure/clojure,"5,197",904,Java,The Clojure programming language,https://github.com/clojure/clojure,System software
JetBrains/kotlin,"4,720",502,Java,The Kotlin Programming Language,https://github.com/JetBrains/kotlin,System software
eclipse/vert.x,"4,635",904,Java,Vert.x is a tool-kit for building reactive applications on the JVM,https://github.com/eclipse/vert.x,System software
prestodb/presto,"4,600","1,324",Java,Distributed SQL query engine for big data,https://github.com/prestodb/presto,System software
android/platform_frameworks_base,"4,278","3,537",Java,null,https://github.com/android/platform_frameworks_base,System software
google/j2objc,"3,977",504,Java,A Java to iOS Objective-C translation tool and runtime.,https://github.com/google/j2objc,System software
thinkaurelius/titan,"3,583",702,Java,Distributed Graph Database,https://github.com/thinkaurelius/titan,System software
gradle/gradle,"3,295","1,336",Java,A powerful build system for the JVM,https://github.com/gradle/gradle,System software
apache/storm,"2,989","2,251",Java,Mirror of Apache Storm,https://github.com/apache/storm,System software
apache/kafka,"2,853","1,726",Java,Mirror of Apache Kafka,https://github.com/apache/kafka,System software
apache/cassandra,"2,650","1,199",Java,Mirror of Apache Cassandra,https://github.com/apache/cassandra,System software
Atmosphere/atmosphere,"2,523",574,Java,"Realtime Client Server Framework for the JVM, supporting WebSockets with Cross-Browser Fallbacks",https://github.com/Atmosphere/atmosphere,System software
orientechnologies/orientdb,"2,333",520,Java,"OrientDB is the first Multi-Model DBMS with Document & Graph engine. OrientDB can run distributed (Multi-Master), supports SQL, ACID Transactions, Full-Text indexing, Reactive Queries and has a small memory footprint. OrientDB is licensed with Apache 2 license and the development is driven by OrientDB LTD and a worldwide Open Source community.",https://github.com/orientechnologies/orientdb,System software
elastic/elasticsearch,"15,734","5,254",Java,"Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch,Software tools
nathanmarz/storm,"8,785","1,760",Java,"Distributed and fault-tolerant realtime computation: stream processing, continuous computation, distributed RPC, and more",https://github.com/nathanmarz/storm,Software tools
square/leakcanary,"8,126","1,306",Java,A memory leak detection library for Android and Java.,https://github.com/square/leakcanary,Software tools
netty/netty,"6,476","3,285",Java,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,Software tools
Netflix/Hystrix,"5,519",997,Java,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",https://github.com/Netflix/Hystrix,Software tools
spring-projects/spring-boot,"4,864","4,819",Java,Spring Boot,https://github.com/spring-projects/spring-boot,Software tools
